,STT,Hạng mục,Xếp hạng,Username,Tổng điểmhoặc xử lý,Quà tặng,date,Hạngmục,Xếphạng
0,1,Toán,Nhất,erik09,"8,670",Bộ quà + thẻ 100k,02-2023,,
1,2,Toán,Nhì,duong612009,"7,860",Bộ quà + thẻ 50k,02-2023,,
2,3,Toán,Ba,FanManchesterUnited,"6,810",Bộ quà + thẻ 50k,02-2023,,
3,4,Toán,4,Yau2k9,"6,295",Bộ quà + thẻ 50k,02-2023,,
4,5,Toán,5,chiminh0,"5,925",Bộ quà + thẻ 50k,02-2023,,
5,6,Toán,6,ichigobankai,"5,600",Bộ quà + thẻ 50k,02-2023,,
