,STT,Hạng mục,Xếp hạng,Username,Tổng điểmhoặc xử lý,Quà tặng,date
30,31,,,thanhai1112008,"5,995",Bộ quà + thẻ 50k,09-2022
31,32,,,TheOneWhoWaits,"5,525",Bộ quà + thẻ 50k,09-2022
32,33,,,thaonguyeneakar2903,"4,895",Bộ quà + thẻ 50k,09-2022
33,34,,,cam_cam,"4,095",Bộ quà + thẻ 50k,09-2022
34,35,,,Anatole779OwO,"3,780",Bộ quà + thẻ 50k,09-2022
35,36,,,Jouska,"3,590",Bộ quà + thẻ 50k,09-2022
36,37,,,ZinnNee,"3,240",Bộ quà + thẻ 50k,09-2022
37,38,,,Myfriendly,"3,010",Bộ quà + thẻ 50k,09-2022
38,39,,,themoonstarhk,"2,890",Bộ quà + thẻ 50k,09-2022
39,40,,,FreedomWriters,"18,060",Bộ quà + thẻ 50k,09-2022
40,41,,,phuongba,"3,040",Bộ quà + thẻ 50k,09-2022
41,42,,,anhthuminhthu04,"2,675",Bộ quà + thẻ 50k,09-2022
42,43,,,khanhle1,"2,520",Bộ quà + thẻ 50k,09-2022
43,44,,,TP2979,"2,315",Bộ quà + thẻ 50k,09-2022
44,45,,,chibana,"6,955",Bộ quà + thẻ 50k,09-2022
45,46,,,trilecongtri,"1,470",Bộ quà + thẻ 50k,09-2022
46,47,,,thanhnhan2007,"1,285",Bộ quà + thẻ 50k,09-2022
47,-,,,,,,09-2022
48,48,,,shamsiel,"3,225",Bộ quà + thẻ 50k,09-2022
49,49,,,PeakingBlinder,"2,970",Bộ quà + thẻ 50k,09-2022
50,50,,,Daoanhviet96,"1,060",Bộ quà + thẻ 50k,09-2022
51,51,,,,,,09-2022
52,52,,,Uemura03,"3,585",Bộ quà + thẻ 50k,09-2022
53,53,,,vudieuhang,"2,980",Bộ quà + thẻ 50k,09-2022
54,54,,,EbeCuaHinata,"2,620",Bộ quà + thẻ 50k,09-2022
55,-,,,,,,09-2022
56,-,,,,,,09-2022
57,-,,,,,,09-2022
58,55,,,Hinaka,"20,448",Thẻ 50k + chứng nhận,09-2022
59,56,,,hodienankhoa,"6,421",Bộ quà + thẻ 50k,09-2022
60,57,,,Yau2k9,"3,489",Bộ quà + thẻ 50k,09-2022
61,58,,,HPHG347,"3,162",Bộ quà + thẻ 50k,09-2022
62,59,,,QuangUwU,"3,104",Bộ quà + thẻ 50k,09-2022
63,60,,,sharinganvanhoadong,"2,931",Bộ quà + thẻ 50k,09-2022
64,61,,,huynhanhduong12,"2,801",Bộ quà + thẻ 50k,09-2022
65,62,,,OriannaJun,"2,512",Bộ quà + thẻ 50k,09-2022
66,63,,,harryisthebest,"2,280",Bộ quà + thẻ 50k,09-2022
67,64,,,LoydCardenis,"2,215",Bộ quà + thẻ 50k,09-2022
68,65,,,VanhMc297,"1,965",Bộ quà + thẻ 50k,09-2022
69,66,,,lamngocanh8061,"9,386",Bộ quà + thẻ 100k + chứng nhận,09-2022
70,67,,,anhnguyenngoc823,"3,674",Bộ quà + thẻ 50k,09-2022
71,68,,,Armed06,"2,134",Bộ quà + thẻ 50k,09-2022
72,69,,,pchi0802,"2,129",Bộ quà + thẻ 50k,09-2022
73,70,,,Baby123,"2,114",Bộ quà + thẻ 50k,09-2022
74,71,,,kieuyen826,"2,002",Bộ quà + thẻ 50k,09-2022
75,72,,,Professionally,"1,875",Bộ quà + thẻ 50k,09-2022
76,73,,,KhanhTram08,"1,841",Bộ quà + thẻ 50k,09-2022
77,74,,,White777,"1,814",Bộ quà + thẻ 50k,09-2022
78,75,,,KhanhHuyen3103,"1,801",Bộ quà + thẻ 50k,09-2022
0,1,,,Hinaka,"18,850",Bộ quà + thẻ 100k,04-2023
1,2,,,2k10kaitokid,"9,380",Bộ quà + thẻ 50k,04-2023
2,3,,,hoanganhnguyen09302,"9,175",Bộ quà + thẻ 50k,04-2023
3,4,,,toanyeuvanh,"8,235",Bộ quà + thẻ 50k,04-2023
4,5,,,Shouzan,"7,965",Bộ quà + thẻ 50k,04-2023
5,6,,,DYNAMONSWORLD,"7,865",Bộ quà + thẻ 50k,04-2023
6,7,,,Ponster208,"6,030",Bộ quà + thẻ 50k,04-2023
7,8,,,bachminhdang,"5,550",Bộ quà + thẻ 50k,04-2023
8,9,,,Pngann,"5,520",Bộ quà + thẻ 50k,04-2023
9,10,,,soicodoc26,"5,280",Bộ quà + thẻ 50k,04-2023
10,11,,,nam123456,"5,137",Bộ quà + thẻ 50k,04-2023
11,12,,,Thwantobethebest,"5,070",Bộ quà + thẻ 50k,04-2023
12,13,,,KaitoKid20,"4,950",Bộ quà + thẻ 50k,04-2023
13,14,,,Sayhi3,"4,855",Bộ quà + thẻ 50k,04-2023
14,15,,,DYMONGO,"4,625",Bộ quà + thẻ 50k,04-2023
15,16,,,buivuminhhuy,"4,615",Bộ quà + thẻ 50k,04-2023
16,17,,,dhzyn1703,"4,615",Bộ quà + thẻ 50k,04-2023
17,18,,,FanManchesterUnited,"4,514",Bộ quà + thẻ 50k,04-2023
18,19,,,trytolearnmore,"4,245",Bộ quà + thẻ 50k,04-2023
19,20,,,winduc347,"3,525",Bộ quà + thẻ 50k,04-2023
20,21,,,dieuly1109,"3,225",Bộ quà + thẻ 50k,04-2023
21,22,,,caomanhgiabao2782008,"2,325",Bộ quà + thẻ 50k,04-2023
22,23,,,vvv323,"1,845",Bộ quà + thẻ 50k,04-2023
23,24,,,kenneths,"1,050",Bộ quà + thẻ 50k,04-2023
24,25,,,znguyen247,"1,000",Bộ quà + thẻ 50k,04-2023
25,26,,,abcxzy,"8,330",Bộ quà + thẻ 50k,04-2023
26,27,,,nguyennam94197,"8,305",Bộ quà + thẻ 50k,04-2023
27,28,,,QuangUwU,"7,670",Bộ quà + thẻ 50k,04-2023
28,29,,,ntbhann,"7,425",Bộ quà + thẻ 50k,04-2023
29,30,,,nguyennhi2766,"14,430",Bộ quà + thẻ 50k,04-2023
30,31,,,thaonguyeneakar2903,"11,545",Bộ quà + thẻ 50k,04-2023
31,32,,,huonggiangtong,"11,260",Bộ quà + thẻ 50k,04-2023
32,33,,,ThunderSadBoiz,"8,065",Bộ quà + thẻ 50k,04-2023
33,34,,,Victorier,"7,530",Bộ quà + thẻ 50k,04-2023
34,35,,,haniezz22,"5,945",Bộ quà + thẻ 50k,04-2023
35,36,,,cam_cam,"5,840",Bộ quà + thẻ 50k,04-2023
36,37,,,ruongojeseoho,"3,015",Bộ quà + thẻ 50k,04-2023
37,38,,,hodienankhoa,"2,685",Bộ quà + thẻ 50k,04-2023
38,39,,,RicardoTrivelaKa09,"2,205",Bộ quà + thẻ 50k,04-2023
39,40,,,hhkmhhjm,"5,345",Bộ quà + thẻ 50k,04-2023
40,41,,,meosimm4905k,"5,165",Bộ quà + thẻ 50k,04-2023
41,42,,,Chococo,"4,505",Bộ quà + thẻ 50k,04-2023
42,43,,,khoanguyen045,"4,500",Bộ quà + thẻ 50k,04-2023
43,44,,,FreedomWriters,"3,145",Bộ quà + thẻ 50k,04-2023
44,45,,,chibana,"2,380",Bộ quà + thẻ 50k,04-2023
45,46,,,Historians,"2,850",Bộ quà + thẻ 50k,04-2023
46,47,,,T222222,"1,355",Bộ quà + thẻ 50k,04-2023
47,48,,,nhatminhpt2011,"1,235",Bộ quà + thẻ 50k,04-2023
48,49,,,hoanganhnguyen09302,"3,199",Bộ quà + thẻ 50k,04-2023
49,50,,,shamsiel,"2,590",Bộ quà + thẻ 50k,04-2023
50,51,,,hungtien2202,"2,270",Bộ quà + thẻ 50k,04-2023
51,52,,,babyboyyy,"2,540",Bộ quà + thẻ 50k,04-2023
52,53,,,Fxozjing,"3,360",Bộ quà + thẻ 50k,04-2023
53,54,,,Emthanhlovethaochi,"3,235",Bộ quà + thẻ 50k,04-2023
54,55,,,CucCukday,"3,075",Bộ quà + thẻ 50k,04-2023
55,-,,,,,,04-2023
56,56,,,minhthanhhoabac,"2,065",Bộ quà + thẻ 50k,04-2023
57,-,,,,,,04-2023
58,57,,,Hinaka,"19,257",Thẻ 50k + chứng nhận,04-2023
59,58,,,trangnguyen8451,"4,195",Bộ quà + thẻ 50k,04-2023
60,59,,,lequangdien201,"3,100",Bộ quà + thẻ 50k,04-2023
61,60,,,chiminh0,"3,048",Bộ quà + thẻ 50k,04-2023
62,61,,,ChieyewCucCuk,"2,555",Bộ quà + thẻ 50k,04-2023
63,62,,,lukefury,"2,415",Bộ quà + thẻ 50k,04-2023
64,63,,,ThaoCuteGirl,"2,280",Bộ quà + thẻ 50k,04-2023
65,64,,,trangnguyenthi69932,"2,255",Bộ quà + thẻ 50k,04-2023
66,65,,,BadMood,"2,245",Bộ quà + thẻ 50k,04-2023
67,66,,,yagamiakira,"4,228",Bộ quà + thẻ 100k + chứng nhận,04-2023
68,67,,,Tsuyuri,"2,869",Bộ quà + thẻ 50k,04-2023
69,68,,,thaohiennhuthang07,"2,139",Bộ quà + thẻ 50k,04-2023
70,69,,,Iruma0301,"1,873",Bộ quà + thẻ 50k,04-2023
71,70,,,kieuyen826,"1,820",Bộ quà + thẻ 50k,04-2023
72,71,,,Daoanhviet96,"1,654",Bộ quà + thẻ 50k,04-2023
73,72,,,pchi0802,"1,420",Bộ quà + thẻ 50k,04-2023
74,73,,,Phuongfriendly,"1,388",Bộ quà + thẻ 50k,04-2023
75,74,,,tuituy,"1,324",Bộ quà + thẻ 50k,04-2023
76,75,,,pentane205,"1,292",Bộ quà + thẻ 50k,04-2023
77,76,,,QuangUwU,"1,286",Bộ quà + thẻ 50k,04-2023
78,77,,,vuongthanhy07,"1,284",Bộ quà + thẻ 50k,04-2023
79,78,,,Hellotamday,"1,139",Bộ quà + thẻ 50k,04-2023
80,79,,,lamngocanh8061,"1,134",Bộ quà + thẻ 50k,04-2023
81,80,,,andybao2007,"1,127",Bộ quà + thẻ 50k,04-2023
82,81,,,anhnguyenngoc823,"1,096",Bộ quà + thẻ 50k,04-2023
83,82,,,DnggAnn,"1,062",Bộ quà + thẻ 50k,04-2023
84,83,,,White777,"1,002",Bộ quà + thẻ 50k,04-2023
85,84,,,buiviet2932006,999,Bộ quà + thẻ 50k,04-2023
0,1,,,Ulatrkhongbietgihet,"15,090",Bộ quà + thẻ 100k,05-2022
1,2,,,KNOIDAU,"14,270",Bộ quà + thẻ 50k,05-2022
2,3,,,dtkc12110,"11,695",Bộ quà + thẻ 50k,05-2022
3,4,,,OvOPytago,"8,760",Bộ quà + thẻ 50k,05-2022
4,5,,,Draphilomena,"7,870",Bộ quà + thẻ 50k,05-2022
5,6,,,khanhly2009,"7,662",Bộ quà + thẻ 50k,05-2022
6,7,,,kaibaseto,"7,220",Bộ quà + thẻ 50k,05-2022
7,8,,,Yau2k9,"6,645",Bộ quà + thẻ 50k,05-2022
8,9,,,TheCloud781404,"6,625",Bộ quà + thẻ 50k,05-2022
9,10,,,lemllnn2208,"6,482",Bộ quà + thẻ 50k,05-2022
10,11,,,kisibongdem,"6,210",Bộ quà + thẻ 50k,05-2022
11,12,,,FanMaple,"6,210",Bộ quà + thẻ 50k,05-2022
12,13,,,hai556655,"5,965",Bộ quà + thẻ 50k,05-2022
13,14,,,trangiahung008,"5,795",Bộ quà + thẻ 50k,05-2022
14,15,,,kimbwi209,"5,645",Bộ quà + thẻ 50k,05-2022
15,16,,,Phuongchi13,"5,510",Bộ quà + thẻ 50k,05-2022
16,17,,,2k9isthebest,"5,062",Bộ quà + thẻ 50k,05-2022
17,18,,,kknot3033UCOM,"5,046",Bộ quà + thẻ 50k,05-2022
18,19,,,parkchaeyoung18,"4,915",Bộ quà + thẻ 50k,05-2022
19,20,,,TrumMaths,"4,765",Bộ quà + thẻ 50k,05-2022
20,21,,,nguyenluffy,"4,605",Bộ quà + thẻ 50k,05-2022
21,22,,,phamhoa338,"6,540",Bộ quà + thẻ 50k,05-2022
22,23,,,MinhHuu2k7,"3,950",Bộ quà + thẻ 50k,05-2022
23,24,,,huylengend,"3,793",Bộ quà + thẻ 50k,05-2022
24,25,,,haotanker,"3,320",Bộ quà + thẻ 50k,05-2022
25,26,,,Dominic,"20,645",Bộ quà + thẻ 50k,05-2022
26,27,,,abcxzy,"8,755",Bộ quà + thẻ 50k,05-2022
27,28,,,TRUSThh,"6,330",Bộ quà + thẻ 50k,05-2022
28,29,,,flagsnemesis2,"5,010",Bộ quà + thẻ 50k,05-2022
29,30,,,NguyenNgocVan9a1,"9,260",Bộ quà + thẻ 50k,05-2022
30,31,,,30huongquynh,"9,085",Bộ quà + thẻ 50k,05-2022
31,32,,,minhnguyetcao304,"7,355",Bộ quà + thẻ 50k,05-2022
32,33,,,Camsama,"6,675",Bộ quà + thẻ 50k,05-2022
33,34,,,DoTrang2k8,"6,365",Bộ quà + thẻ 50k,05-2022
34,35,,,Aurellia,"6,254",Bộ quà + thẻ 50k,05-2022
35,36,,,dulcie25,"5,095",Bộ quà + thẻ 50k,05-2022
36,37,,,kibinhanhsang,"4,050",Bộ quà + thẻ 50k,05-2022
37,38,,,LoydCardenis,"4,005",Bộ quà + thẻ 50k,05-2022
38,39,,,kanao2008,"3,990",Bộ quà + thẻ 50k,05-2022
39,40,,,Haha2k9,"5,105",Bộ quà + thẻ 50k,05-2022
40,41,,,anpham181109,"3,030",Bộ quà + thẻ 50k,05-2022
41,42,,,JungJeeYeon,"2,995",Bộ quà + thẻ 50k,05-2022
42,43,,,KhanhhLinhh07,"2,760",Bộ quà + thẻ 50k,05-2022
43,44,,,doanduyanh0398,"2,480",Bộ quà + thẻ 50k,05-2022
44,45,,,chibana,"10,230",Bộ quà + thẻ 50k,05-2022
45,46,,,lamtruynguyet,"2,615",Bộ quà + thẻ 50k,05-2022
46,47,,,thanhnhan2007,"1,615",Bộ quà + thẻ 50k,05-2022
47,-,,,,,,05-2022
48,48,,,yanquinnkhongcoten,"7,810",Bộ quà + thẻ 50k,05-2022
49,49,,,buikhanhchi237,"4,134",Bộ quà + thẻ 50k,05-2022
50,50,,,baonamok114,"2,955",Bộ quà + thẻ 50k,05-2022
51,51,,,wikipediahoidap247,"1,525",Bộ quà + thẻ 50k,05-2022
52,52,,,LuongVanManh291207,"7,785",Bộ quà + thẻ 50k,05-2022
53,53,,,chutuenhi114,"4,855",Bộ quà + thẻ 50k,05-2022
54,54,,,TrBinhAnlas1,"4,427",Bộ quà + thẻ 50k,05-2022
55,55,,,Thanh4356,"1,330",Bộ quà + thẻ 50k,05-2022
56,56,,,MaiTrank9,"1,375",Bộ quà + thẻ 50k,05-2022
57,57,,,Ulatrkhongbietgihet,"18,358",Thẻ 50k + chứng nhận,05-2022
58,58,,,Longhack1805,"7,456",Bộ quà + thẻ 50k,05-2022
59,59,,,Romalssi,"6,268",Bộ quà + thẻ 50k,05-2022
60,60,,,truonghohanhu,"5,019",Bộ quà + thẻ 50k,05-2022
61,61,,,Lazuli0908,"4,369",Bộ quà + thẻ 50k,05-2022
62,62,,,wally2008,"3,866",Bộ quà + thẻ 50k,05-2022
63,63,,,ohnonono,"3,846",Bộ quà + thẻ 50k,05-2022
64,64,,,hoaithunong305,"3,777",Bộ quà + thẻ 50k,05-2022
65,65,,,QuangUwU,"3,685",Bộ quà + thẻ 50k,05-2022
66,66,,,Doraemon09,"3,612",Bộ quà + thẻ 50k,05-2022
67,67,,,khanhlynkk,"3,566",Bộ quà + thẻ 50k,05-2022
68,68,,,lamngocanh8061,"10,696",Bộ quà + thẻ 100k + chứng nhận,05-2022
69,69,,,phamhoa338,"4,978",Bộ quà + thẻ 50k,05-2022
70,70,,,brightwarrior,"4,566",Bộ quà + thẻ 50k,05-2022
71,71,,,anhnguyenngoc823,"3,610",Bộ quà + thẻ 50k,05-2022
72,72,,,Apple347,"3,320",Bộ quà + thẻ 50k,05-2022
73,73,,,linhhuongnguyen2006,"2,937",Bộ quà + thẻ 50k,05-2022
74,74,,,taomao331,"2,532",Bộ quà + thẻ 50k,05-2022
75,75,,,thaopham76520,"2,193",Bộ quà + thẻ 50k,05-2022
76,76,,,ngan77666,"2,168",Bộ quà + thẻ 50k,05-2022
77,77,,,weeihan,"2,131",Bộ quà + thẻ 50k,05-2022
78,78,,,letranquynhtrang,"2,027",Bộ quà + thẻ 50k,05-2022
79,79,,,nhianh2006,"2,011",Bộ quà + thẻ 50k,05-2022
80,80,,,Professionally,"1,936",Bộ quà + thẻ 50k,05-2022
81,81,,,harryisthebest,"1,914",Bộ quà + thẻ 50k,05-2022
82,82,,,Dorris,"1,904",Bộ quà + thẻ 50k,05-2022
83,83,,,angnguyen779,"1,845",Bộ quà + thẻ 50k,05-2022
0,1,Toán,Nhất,MOZShiwel,"18,250",Bộ quà + thẻ 100k,11-2022
1,2,Toán,Nhì,Hinaka,"17,320",Bộ quà + thẻ 50k,11-2022
2,3,Toán,Ba,duong612009,"13,312",Bộ quà + thẻ 50k,11-2022
3,4,Toán,4,ichigobankai,"7,940",Bộ quà + thẻ 50k,11-2022
4,5,Toán,5,anhthi4,"7,722",Bộ quà + thẻ 50k,11-2022
5,6,Toán,6,toanyeuvanh,"7,565",Bộ quà + thẻ 50k,11-2022
6,7,Toán,7,DYNAMONSWORLD,"6,950",Bộ quà + thẻ 50k,11-2022
7,8,Toán,8,chienbinhkieuhanh226,"6,400",Bộ quà + thẻ 50k,11-2022
8,9,Toán,9,Phuongfriendly,"5,800",Bộ quà + thẻ 50k,11-2022
9,10,Toán,10,WhiteFF,"5,645",Bộ quà + thẻ 50k,11-2022
10,11,Toán,11,Unavailable26,"5,230",Bộ quà + thẻ 50k,11-2022
11,12,Toán,12,gioido782,"4,600",Bộ quà + thẻ 50k,11-2022
12,13,Toán,13,SadAdam01,"4,510",Bộ quà + thẻ 50k,11-2022
13,14,Toán,14,TenhYewwBoXitttt,"4,245",Bộ quà + thẻ 50k,11-2022
14,15,Toán,15,tytyrrte,"4,180",Bộ quà + thẻ 50k,11-2022
15,16,Toán,16,trangnguyen8451,"3,795",Bộ quà + thẻ 50k,11-2022
16,17,Toán,17,StarBby1123,"3,750",Bộ quà + thẻ 50k,11-2022
17,18,Toán,18,2k10kaitokid,"3,530",Bộ quà + thẻ 50k,11-2022
18,19,Toán,19,pchi0802,"3,390",Bộ quà + thẻ 50k,11-2022
19,20,Toán,20,unluck,"2,805",Bộ quà + thẻ 50k,11-2022
20,21,Toán,21,nghiale29,"2,510",Bộ quà + thẻ 50k,11-2022
21,22,Lý,Nhất,vvv323,"3,990",Bộ quà + thẻ 50k,11-2022
22,23,Lý,Nhì,AurielaOvO,"3,830",Bộ quà + thẻ 50k,11-2022
23,24,Lý,Ba,nguyenngocminhchau97,"3,530",Bộ quà + thẻ 50k,11-2022
24,25,Lý,4,dotrungminhnhat,"3,435",Bộ quà + thẻ 50k,11-2022
25,26,Hóa,Nhất,pentane205,"10,095",Bộ quà + thẻ 50k,11-2022
26,27,Hóa,Nhì,dinhtrantrunghieu13,"7,405",Bộ quà + thẻ 50k,11-2022
27,28,Hóa,Ba,Fiammetta,"5,020",Bộ quà + thẻ 50k,11-2022
28,29,Hóa,4,nguyenhohoangnam,"4,467",Bộ quà + thẻ 50k,11-2022
29,30,AV,Nhất,Sonic07,"6,865",Bộ quà + thẻ 50k,11-2022
30,31,AV,Nhì,thaonguyeneakar2903,"5,645",Bộ quà + thẻ 50k,11-2022
31,32,AV,Ba,cam_cam,"5,180",Bộ quà + thẻ 50k,11-2022
32,33,AV,4,30huongquynh,"5,160",Bộ quà + thẻ 50k,11-2022
33,34,AV,5,MinhHuy07,"3,907",Bộ quà + thẻ 50k,11-2022
34,35,AV,6,ZinnNee,"3,430",Bộ quà + thẻ 50k,11-2022
35,36,AV,7,hodienankhoa,"3,210",Bộ quà + thẻ 50k,11-2022
36,37,AV,8,TheOneWhoWaits,"3,115",Bộ quà + thẻ 50k,11-2022
37,38,AV,9,themoonstarhk,"2,735",Bộ quà + thẻ 50k,11-2022
38,39,AV,10,ruongojeseoho,"1,940",Bộ quà + thẻ 50k,11-2022
39,40,Văn,Nhất,anhthuminhthu04,"6,340",Bộ quà + thẻ 50k,11-2022
40,41,Văn,Nhì,FreedomWriters,"4,575",Bộ quà + thẻ 50k,11-2022
41,42,Văn,Ba,khanhle1,"1,590",Bộ quà + thẻ 50k,11-2022
42,43,Văn,4,Watter03,"1,540",Bộ quà + thẻ 50k,11-2022
43,44,Văn,5,Pie1706,"1,370",Bộ quà + thẻ 50k,11-2022
44,45,Sinh,Nhất,chibana,"13,605",Bộ quà + thẻ 50k,11-2022
45,-,Sử,Không ai đoạt giải,,,,11-2022
46,-,Địa,Không ai đoạt giải,,,,11-2022
47,-,GDCD,Không ai đoạt giải,,,,11-2022
48,46,Tin,Nhất,shamsiel,"3,845",Bộ quà + thẻ 50k,11-2022
49,47,Tin,Nhì,PeakingBlinder,"3,583",Bộ quà + thẻ 50k,11-2022
50,48,Tin,Ba,Daoanhviet96,"2,990",Bộ quà + thẻ 50k,11-2022
51,49,Công nghệ,Nhất,ngocha20102k9,"1,005",Bộ quà + thẻ 50k,11-2022
52,50,Nhạc họa,Nhất,FxBlackink,"6,334",Bộ quà + thẻ 50k,11-2022
53,51,Nhạc họa,Nhì,10th9s,"3,875",Bộ quà + thẻ 50k,11-2022
54,52,Nhạc họa,Ba,ThanhNhan216,"2,073",Bộ quà + thẻ 50k,11-2022
55,53,KHTN,Nhất,Fiammetta,"3,035",Bộ quà + thẻ 50k,11-2022
56,-,Sử & Địa,Không ai đoạt giải,,,,11-2022
57,-,Khác,Không ai đoạt giải,,,,11-2022
58,54,BĐHH,Nhất,Hinaka,"18,060",Thẻ 50k + chứng nhận,11-2022
59,55,BĐHH,Nhì,Myfriendly,"2,129",Bộ quà + thẻ 50k,11-2022
60,56,BĐHH,Ba,thanhnhan2302,"1,919",Bộ quà + thẻ 50k,11-2022
61,57,BĐHH,4,nguyenthuy1810,"1,840",Bộ quà + thẻ 50k,11-2022
62,58,BĐHH,5,baotienayunpa,"1,820",Bộ quà + thẻ 50k,11-2022
63,59,BĐHH,6,huynhanhduong12,"1,405",Bộ quà + thẻ 50k,11-2022
64,60,BĐHH,7,ipadnghi,"1,375",Bộ quà + thẻ 50k,11-2022
65,61,BĐHH,8,NaeOvO,"1,370",Bộ quà + thẻ 50k,11-2022
66,62,BĐHH,9,thanhai1112008,"1,246",Bộ quà + thẻ 50k,11-2022
67,63,BĐHH,10,SunTea,"1,175",Bộ quà + thẻ 50k,11-2022
68,64,BĐHH,11,ThaoCuteGirl,"1,150",Bộ quà + thẻ 50k,11-2022
69,65,Mod,Nhất,lamngocanh8061,"7,652",Bộ quà + thẻ 100k + chứng nhận,11-2022
70,66,Mod,Nhì,Phuongfriendly,"3,320",Bộ quà + thẻ 50k,11-2022
71,67,Mod,Ba,anhnguyenngoc823,"3,027",Bộ quà + thẻ 50k,11-2022
72,68,Mod,4,andybao2007,"2,901",Bộ quà + thẻ 50k,11-2022
73,69,Mod,5,DnggAnn,"2,807",Bộ quà + thẻ 50k,11-2022
74,70,Mod,6,angnguyen779,"2,184",Bộ quà + thẻ 50k,11-2022
75,71,Mod,7,wally2008,"2,017",Bộ quà + thẻ 50k,11-2022
76,72,Mod,8,Anatole779OwO,"1,957",Bộ quà + thẻ 50k,11-2022
77,73,Mod,9,Iruma0301,"1,942",Bộ quà + thẻ 50k,11-2022
78,74,Mod,10,KhanhHuyen3103,"1,840",Bộ quà + thẻ 50k,11-2022
79,75,Mod,11,KhanhTram08,"1,827",Bộ quà + thẻ 50k,11-2022
80,76,Mod,12,520History,"1,800",Bộ quà + thẻ 50k,11-2022
0,1,,,kaibaseto,"18,760",Bộ quà + thẻ 100k,04-2022
1,2,,,Ulatrkhongbietgihet,"14,450",Bộ quà + thẻ 50k,04-2022
2,3,,,Phuongfriendly,"14,040",Bộ quà + thẻ 50k,04-2022
3,4,,,GiaBao2010,"12,525",Bộ quà + thẻ 50k,04-2022
4,5,,,dtkc12110,"10,835",Bộ quà + thẻ 50k,04-2022
5,6,,,knguyn,"10,320",Bộ quà + thẻ 50k,04-2022
6,7,,,Andanh070707,"9,100",Bộ quà + thẻ 50k,04-2022
7,8,,,mathOwO,"8,570",Bộ quà + thẻ 50k,04-2022
8,9,,,nguyennam500,"8,445",Bộ quà + thẻ 50k,04-2022
9,10,,,2k9isthebest,"8,285",Bộ quà + thẻ 50k,04-2022
10,11,,,yewnhanhatthegioi,"7,880",Bộ quà + thẻ 50k,04-2022
11,12,,,DungSenpai1412,"7,435",Bộ quà + thẻ 50k,04-2022
12,13,,,Romalssi,"6,985",Bộ quà + thẻ 50k,04-2022
13,14,,,VieZoee1402,"6,920",Bộ quà + thẻ 50k,04-2022
14,15,,,kocogidaunha,"6,885",Bộ quà + thẻ 50k,04-2022
15,16,,,Yau2k9,"6,820",Bộ quà + thẻ 50k,04-2022
16,17,,,520History,"6,315",Bộ quà + thẻ 50k,04-2022
17,18,,,owenly3,"6,155",Bộ quà + thẻ 50k,04-2022
18,19,,,ducanh190509,"6,101",Bộ quà + thẻ 50k,04-2022
19,20,,,ngthanhthuy29042010,"5,957",Bộ quà + thẻ 50k,04-2022
20,21,,,nothinginhere,"5,915",Bộ quà + thẻ 50k,04-2022
21,22,,,nguyenngocminhchau97,"5,345",Bộ quà + thẻ 50k,04-2022
22,23,,,phamhoa338,"5,012",Bộ quà + thẻ 50k,04-2022
23,24,,,doanduyanh,"4,650",Bộ quà + thẻ 50k,04-2022
24,25,,,Professionally,"2,760",Bộ quà + thẻ 50k,04-2022
25,26,,,QuangUwU,"16,435",Bộ quà + thẻ 50k,04-2022
26,27,,,Lazuli0908,"10,920",Bộ quà + thẻ 50k,04-2022
27,28,,,pentane205,"10,705",Bộ quà + thẻ 50k,04-2022
28,29,,,Dominic,"10,625",Bộ quà + thẻ 50k,04-2022
29,30,,,ZinnNee,"20,025",Bộ quà + thẻ 50k,04-2022
30,31,,,hodienankhoa,"12,145",Bộ quà + thẻ 50k,04-2022
31,32,,,Aurellia,"7,766",Bộ quà + thẻ 50k,04-2022
32,33,,,thuyanh1303,"6,600",Bộ quà + thẻ 50k,04-2022
33,34,,,DnggAnn,"5,730",Bộ quà + thẻ 50k,04-2022
34,35,,,letranquynhtrang,"5,485",Bộ quà + thẻ 50k,04-2022
35,36,,,cam_cam,"5,345",Bộ quà + thẻ 50k,04-2022
36,37,,,ngan77666,"5,200",Bộ quà + thẻ 50k,04-2022
37,38,,,anhnguyenngoc823,"4,665",Bộ quà + thẻ 50k,04-2022
38,39,,,minhotaku2007,"3,740",Bộ quà + thẻ 50k,04-2022
39,40,,,wally2008,"4,790",Bộ quà + thẻ 50k,04-2022
40,41,,,JungJeeYeon,"4,205",Bộ quà + thẻ 50k,04-2022
41,42,,,KhanhhLinhh07,"3,445",Bộ quà + thẻ 50k,04-2022
42,43,,,anpham181109,"2,955",Bộ quà + thẻ 50k,04-2022
43,44,,,ThuyyDuongg07,"2,472",Bộ quà + thẻ 50k,04-2022
44,45,,,chibana,"12,220",Bộ quà + thẻ 50k,04-2022
45,46,,,trilecongtri,"5,815",Bộ quà + thẻ 50k,04-2022
46,47,,,thanhnhan2007,"3,340",Bộ quà + thẻ 50k,04-2022
47,-,,,,,,04-2022
48,48,,,yanquinnkhongcoten,"10,765",Bộ quà + thẻ 50k,04-2022
49,49,,,Daoanhviet96,"5,385",Bộ quà + thẻ 50k,04-2022
50,50,,,buikhanhchi237,"3,810",Bộ quà + thẻ 50k,04-2022
51,51,,,wikipediahoidap247,"4,635",Bộ quà + thẻ 50k,04-2022
52,52,,,OnceUponATime,"5,199",Bộ quà + thẻ 50k,04-2022
53,53,,,parkmiz2kx,"5,080",Bộ quà + thẻ 50k,04-2022
54,54,,,SnowLovely08,"3,960",Bộ quà + thẻ 50k,04-2022
55,55,,,Thanh4356,"2,500",Bộ quà + thẻ 50k,04-2022
